user_id,first_name,last_name,age,email,country,postal_code,favorite_color,booking_price,booking_date,booking_duration
1,Nicolas,Plumb,57,nplumb0@dmoz.org,China,,green,508.77,8/19/2022,26
2,Fidelity,Webland,66,fwebland1@123-reg.co.uk,Russia,394075,blue,919.31,6/27/2022,3
3,Catherine,Fisher,49,cfisher2@adobe.com,Zambia,,red,377.16,9/16/2022,10
4,Carline,Skough,65,cskough3@senate.gov,Uganda,,green,743.74,4/6/2022,21
5,Alexandros,Hiseman,53,ahiseman4@fema.gov,Kenya,,red,773.02,3/12/2022,1
6,Alejandrina,Stainburn,83,astainburn5@goodreads.com,Czech Republic,739 97,green,506.69,6/11/2022,24
7,Natala,Fakeley,72,nfakeley6@goodreads.com,Bosnia and Herzegovina,,blue,950.04,10/27/2022,10
8,Dreddy,Schleicher,23,dschleicher7@tripadvisor.com,Poland,26-640,red,706.4,10/12/2022,2
9,Hyman,Leisman,23,hleisman8@umich.edu,Indonesia,,green,592.87,9/13/2022,5
10,Gwenette,Inkpin,26,ginkpin9@ucoz.com,Thailand,27120,green,467.28,7/6/2022,11
11,Leigh,Deason,74,ldeasona@rambler.ru,Colombia,055018,red,413.19,9/18/2022,18
12,Olivier,Steward,77,ostewardb@ocn.ne.jp,Ukraine,,red,621.1,2/7/2022,29
13,Cirilo,Bane,79,cbanec@usa.gov,Brazil,11680-000,green,235.42,8/4/2022,16
14,Cookie,Govan,27,cgovand@wikia.com,Indonesia,,blue,610.69,4/17/2022,27
15,Shayla,Bonsul,36,sbonsule@lulu.com,Philippines,2910,blue,916.63,11/23/2022,11
16,Tam,Rammell,84,trammellf@umich.edu,Indonesia,,blue,316.66,5/30/2022,9
17,Devi,Radki,66,dradkig@addthis.com,Argentina,5461,green,770.68,4/22/2022,22
18,Nevins,Weaver,72,nweaverh@amazon.de,Bosnia and Herzegovina,,green,147.71,2/7/2022,25
19,Audi,Ruste,84,arustei@ft.com,Russia,356503,blue,940.33,9/23/2022,10
20,Buckie,Klosterman,46,bklostermanj@gmpg.org,Indonesia,,green,950.11,9/29/2022,26
21,Tania,Yantsurev,60,tyantsurevk@qq.com,Argentina,5856,red,620.53,8/6/2022,1
22,Mollee,Nutbeam,18,mnutbeaml@creativecommons.org,Ireland,D18,red,992.16,12/4/2022,20
23,Wilie,Pellman,85,wpellmanm@time.com,China,,blue,605.41,10/30/2022,28
24,Augusto,Bagnall,23,abagnalln@who.int,Indonesia,,blue,109.95,5/16/2022,29
25,Hamnet,Eim,40,heimo@twitpic.com,Russia,397608,blue,596.93,4/14/2022,10
26,Evangelia,Eisikowitch,33,eeisikowitchp@spiegel.de,China,,blue,802.24,2/19/2022,23
27,Marga,Corkill,79,mcorkillq@webs.com,Slovenia,3600,red,479.65,12/29/2022,25
28,Jamie,Frape,52,jfraper@php.net,Indonesia,,green,445.13,9/21/2022,18
29,Cherri,Ansteys,38,cansteyss@hexun.com,China,,blue,792.96,11/25/2022,8
30,Nehemiah,Pales,56,npalest@prweb.com,China,,blue,536.06,7/23/2022,15
31,Richmond,Rickcord,26,rrickcordu@free.fr,Angola,,red,758.93,8/10/2022,23
32,Jayme,Lorens,40,jlorensv@sogou.com,Paraguay,,blue,561.23,2/17/2022,11
33,Sibylla,Hembrow,51,shembroww@webs.com,Canada,M5T,red,763.93,11/21/2022,16
34,Catharina,Coyett,41,ccoyettx@bing.com,Russia,658059,green,525.05,12/26/2022,6
35,Stanfield,Seid,59,sseidy@cafepress.com,Argentina,6233,blue,953.94,1/16/2022,24
36,Annaliese,Bestiman,29,abestimanz@youtube.com,France,13503 CEDEX,blue,242.82,10/28/2022,29
37,Natal,Glasgow,85,nglasgow10@meetup.com,Ireland,D06,green,165.13,4/24/2022,4
38,Jere,Marcq,58,jmarcq11@tamu.edu,Afghanistan,,red,660.59,5/13/2022,11
39,Babette,Pallesen,67,bpallesen12@dell.com,China,,green,486.7,12/7/2022,8
40,Loutitia,Vuittet,71,lvuittet13@usnews.com,China,,green,537.65,2/11/2022,20
41,Morris,Philpault,69,mphilpault14@youtube.com,China,,blue,489.92,6/27/2022,5
42,Dani,Belding,69,dbelding15@si.edu,Indonesia,,red,119.17,2/10/2022,27
43,Udall,Geroldo,55,ugeroldo16@cmu.edu,China,,red,658.3,9/23/2022,30
44,Isa,Keling,73,ikeling17@nps.gov,Armenia,,red,150.46,5/8/2022,24
45,Phil,Siddall,39,psiddall18@microsoft.com,China,,red,424.07,4/18/2022,21
46,Cully,Meuse,43,cmeuse19@i2i.jp,Argentina,3240,blue,476.12,1/5/2022,10
47,Renie,Moncrefe,78,rmoncrefe1a@theatlantic.com,Philippines,3507,red,812.16,8/19/2022,27
48,Eryn,Bullin,18,ebullin1b@va.gov,China,,green,394.6,5/6/2022,7
49,Malcolm,Oldfield-Cherry,57,moldfieldcherry1c@cnn.com,Mexico,51016,red,700.59,2/28/2022,4
50,Derry,Lownsbrough,21,dlownsbrough1d@geocities.jp,Russia,142855,green,67.26,5/5/2022,29
51,Hazel,Littledike,75,hlittledike1e@princeton.edu,Poland,21-146,red,844.68,2/22/2022,25
52,Ivy,Grovier,68,igrovier1f@hatena.ne.jp,Nicaragua,,blue,299.91,10/30/2022,18
53,Ingunna,Hartus,30,ihartus1g@slate.com,Guatemala,03017,blue,331.6,4/27/2022,2
54,Nanny,Condliffe,70,ncondliffe1h@cisco.com,American Samoa,96799,green,506.59,2/1/2022,11
55,Steffi,Levinge,28,slevinge1i@about.com,Palestinian Territory,,green,566.66,12/2/2022,8
56,Tomaso,Nock,82,tnock1j@symantec.com,Ukraine,,blue,155.15,4/8/2022,7
57,Aurelie,Cantos,64,acantos1k@skyrock.com,Indonesia,,blue,652.1,1/10/2022,21
58,Emogene,McVey,34,emcvey1l@theatlantic.com,Portugal,4600-741,red,47.78,2/22/2022,21
59,Dallas,Ellacombe,42,dellacombe1m@twitter.com,Russia,694440,red,654.85,7/29/2022,7
60,Leonid,Galland,71,lgalland1n@mozilla.org,Canada,G6G,green,93.16,8/18/2022,16
